sub-category	geneID	category
bone-aging	1280	aging
bone-aging	3566	aging
bone-aging	4314	aging
bone-aging	7421	aging
aging	19	aging
aging	341	aging
aging	348	aging
aging	1636	aging
aging	3105	aging
aging	3553	aging
aging	3569	aging
aging	3586	aging
aging	3606	aging
aging	3952	aging
aging	4312	aging
aging	4314	aging
aging	4524	aging
aging	5621	aging
aging	7040	aging
aging	7124	aging
aging	9365	aging
endocrine	354	aging
endocrine	367	aging
endocrine	1636	aging
endocrine	6716	aging
longevity	10	aging
longevity	142	aging
longevity	183	aging
longevity	335	aging
longevity	337	aging
longevity	338	aging
longevity	345	aging
longevity	348	aging
longevity	355	aging
longevity	356	aging
longevity	718	aging
longevity	721	aging
longevity	790	aging
longevity	847	aging
longevity	875	aging
longevity	1071	aging
longevity	1234	aging
longevity	1543	aging
longevity	1545	aging
longevity	1565	aging
longevity	1636	aging
longevity	1815	aging
longevity	2155	aging
longevity	2212	aging
longevity	2244	aging
longevity	2332	aging
longevity	2944	aging
longevity	2950	aging
longevity	2952	aging
longevity	3077	aging
longevity	3162	aging
longevity	3303	aging
longevity	3304	aging
longevity	3305	aging
longevity	3458	aging
longevity	3480	aging
longevity	3481	aging
longevity	3552	aging
longevity	3553	aging
longevity	3557	aging
longevity	3558	aging
longevity	3569	aging
longevity	3576	aging
longevity	3586	aging
longevity	3592	aging
longevity	3630	aging
longevity	3643	aging
longevity	3667	aging
longevity	3690	aging
longevity	4023	aging
longevity	4292	aging
longevity	4524	aging
longevity	4547	aging
longevity	5054	aging
longevity	5243	aging
longevity	5291	aging
longevity	5294	aging
longevity	5444	aging
longevity	5468	aging
longevity	6464	aging
longevity	6532	aging
longevity	6648	aging
longevity	6872	aging
longevity	7040	aging
longevity	7054	aging
longevity	7099	aging
longevity	7124	aging
longevity	7157	aging
longevity	7422	aging
longevity	9365	aging
longevity	10891	aging
longevity	23410	aging
longevity	23411	aging
longevity	29949	aging
longevity	51441	aging
memory-and-cognitive	341	aging
memory-and-cognitive	348	aging
memory-and-cognitive	367	aging
memory-and-cognitive	1137	aging
memory-and-cognitive	1312	aging
memory-and-cognitive	1621	aging
memory-and-cognitive	1636	aging
memory-and-cognitive	3553	aging
memory-and-cognitive	3690	aging
memory-and-cognitive	4353	aging
memory-and-cognitive	4524	aging
memory-and-cognitive	4846	aging
memory-and-cognitive	5243	aging
memory-and-cognitive	5621	aging
memory-and-cognitive	23286	aging
vascular	348	aging
vascular	5663	aging
vascular	9365	aging
adenomas-cancer	9	cancer
adenomas-cancer	324	cancer
adenomas-cancer	641	cancer
adenomas-cancer	1029	cancer
adenomas-cancer	1543	cancer
adenomas-cancer	1636	cancer
adenomas-cancer	1728	cancer
adenomas-cancer	2950	cancer
adenomas-cancer	2944	cancer
adenomas-cancer	3119	cancer
adenomas-cancer	3123	cancer
adenomas-cancer	3265	cancer
adenomas-cancer	3297	cancer
adenomas-cancer	3845	cancer
adenomas-cancer	4049	cancer
adenomas-cancer	4313	cancer
adenomas-cancer	4595	cancer
adenomas-cancer	4619	cancer
adenomas-cancer	4968	cancer
adenomas-cancer	5320	cancer
adenomas-cancer	5925	cancer
adenomas-cancer	6555	cancer
adenomas-cancer	7124	cancer
adenomas-cancer	7157	cancer
adenomas-cancer	7421	cancer
adenomas-cancer	7520	cancer
biliary-cancer	9	cancer
biliary-cancer	10	cancer
biliary-cancer	338	cancer
biliary-cancer	1544	cancer
biliary-cancer	1586	cancer
biliary-cancer	2950	cancer
biliary-cancer	2952	cancer
biliary-cancer	2944	cancer
biliary-cancer	2947	cancer
biliary-cancer	4524	cancer
biliary-cancer	4619	cancer
biliary-cancer	5743	cancer
biliary-cancer	7048	cancer
biliary-cancer	7298	cancer
bladder-cancer	9	cancer
bladder-cancer	10	cancer
bladder-cancer	126	cancer
bladder-cancer	142	cancer
bladder-cancer	143	cancer
bladder-cancer	196	cancer
bladder-cancer	328	cancer
bladder-cancer	338	cancer
bladder-cancer	355	cancer
bladder-cancer	356	cancer
bladder-cancer	595	cancer
bladder-cancer	675	cancer
bladder-cancer	875	cancer
bladder-cancer	999	cancer
bladder-cancer	1026	cancer
bladder-cancer	1029	cancer
bladder-cancer	1312	cancer
bladder-cancer	1491	cancer
bladder-cancer	1535	cancer
bladder-cancer	1543	cancer
bladder-cancer	1544	cancer
bladder-cancer	1545	cancer
bladder-cancer	1557	cancer
bladder-cancer	1559	cancer
bladder-cancer	1586	cancer
bladder-cancer	1588	cancer
bladder-cancer	1728	cancer
bladder-cancer	2064	cancer
bladder-cancer	2067	cancer
bladder-cancer	2068	cancer
bladder-cancer	2072	cancer
bladder-cancer	2073	cancer
bladder-cancer	2074	cancer
bladder-cancer	2261	cancer
bladder-cancer	2264	cancer
bladder-cancer	2778	cancer
bladder-cancer	2950	cancer
bladder-cancer	2952	cancer
bladder-cancer	2956	cancer
bladder-cancer	2876	cancer
bladder-cancer	2944	cancer
bladder-cancer	2947	cancer
bladder-cancer	3265	cancer
bladder-cancer	3458	cancer
bladder-cancer	3552	cancer
bladder-cancer	3553	cancer
bladder-cancer	3554	cancer
bladder-cancer	3557	cancer
bladder-cancer	3558	cancer
bladder-cancer	4255	cancer
bladder-cancer	3565	cancer
bladder-cancer	3566	cancer
bladder-cancer	3569	cancer
bladder-cancer	3576	cancer
bladder-cancer	3586	cancer
bladder-cancer	3592	cancer
bladder-cancer	3809	cancer
bladder-cancer	3811	cancer
bladder-cancer	3845	cancer
bladder-cancer	3978	cancer
bladder-cancer	3980	cancer
bladder-cancer	4193	cancer
bladder-cancer	4292	cancer
bladder-cancer	4312	cancer
bladder-cancer	4313	cancer
bladder-cancer	4314	cancer
bladder-cancer	4317	cancer
bladder-cancer	4318	cancer
bladder-cancer	4321	cancer
bladder-cancer	4353	cancer
bladder-cancer	4524	cancer
bladder-cancer	4548	cancer
bladder-cancer	4552	cancer
bladder-cancer	4437	cancer
bladder-cancer	4595	cancer
bladder-cancer	5111	cancer
bladder-cancer	4683	cancer
bladder-cancer	4843	cancer
bladder-cancer	4968	cancer
bladder-cancer	5328	cancer
bladder-cancer	5423	cancer
bladder-cancer	5424	cancer
bladder-cancer	5468	cancer
bladder-cancer	5743	cancer
bladder-cancer	5887	cancer
bladder-cancer	5888	cancer
bladder-cancer	5893	cancer
bladder-cancer	5896	cancer
bladder-cancer	5997	cancer
bladder-cancer	6470	cancer
bladder-cancer	6573	cancer
bladder-cancer	6648	cancer
bladder-cancer	6817	cancer
bladder-cancer	7040	cancer
bladder-cancer	7046	cancer
bladder-cancer	7124	cancer
bladder-cancer	7157	cancer
bladder-cancer	7298	cancer
bladder-cancer	7364	cancer
bladder-cancer	7422	cancer
bladder-cancer	7490	cancer
bladder-cancer	7507	cancer
bladder-cancer	7508	cancer
bladder-cancer	7515	cancer
bladder-cancer	7516	cancer
bladder-cancer	7517	cancer
bladder-cancer	7518	cancer
bladder-cancer	9628	cancer
bladder-cancer	10039	cancer
bladder-cancer	10550	cancer
bladder-cancer	54576	cancer
bladder-cancer	54600	cancer
bladder-cancer	59348	cancer
bladder-cancer	83990	cancer
bone-cancer	1277	cancer
bone-cancer	2068	cancer
bone-cancer	2073	cancer
